Headline;Summary;Organization;Category;File format;Views;Tags;URL
Oficiālā elektroniskā adrese (e-adrese);Informācija par Oficiālās elektroniskās adreses aktivizētajiem, deaktivizētajiem kontiem un anulētajām e-adresēm. Dati tiek atjaunoti reizi stundā.;Valsts reģionālās attīstības aģentūra;Ekonomika un uzņēmējdarbība, Iedzīvotāji un sabiedrība, Reģioni un pašvaldības, Valsts pārvalde, ;CSV, ;2981 skatījumi;PIKTAPS, e-adrese, ;https://data.gov.lv/dati/lv/dataset/eadrese
Kuģu skaita (ienākošo ostās un izejošo no ostām) dinamika, t.sk. statistika pēc kuģu tipiem;Kuģu skaita (ienākošo ostās un izejošo no ostām) dinamika, t.sk. statistika pēc kuģu tipiem;Satiksmes ministrija;Cits;XLSX, CSV, ;8 skatījumi;kuģi, ;https://data.gov.lv/dati/lv/dataset/kugu-skaita-ienakoso-ostas-un-izejoso-no-ostam-dinamika-t-sk-statistika-pec-kugu-tipiem
Pārvadājamo jūras kravu veidi, apjomi, dinamika;Pārvadājamo jūras kravu veidi, apjomi, dinamika;Satiksmes ministrija;Cits;CSV, ;6 skatījumi;krava, ;https://data.gov.lv/dati/lv/dataset/parvadajamo-juras-kravu-veidi-apjomi-dinamika
COVID-19 izmeklējumi, apstiprinātie gadījumi un iznākumi;Veikto laboratorisko testu skaits, lai noteiktu SARS-CoV-2 vīrusu, saņemto ziņojumu skaits par laboratoriski apstiprinātiem gadījumiem, saņemto ziņojumu skaits par nāves gadījumiem, ziņojumu skaits par slimības iznākumu atbilstoši noteiktiem kritērijiem.;Slimību profilakses un kontroles centrs;Veselība, ;CSV, JSON, ;35217 skatījumi;covid-19, infekcijas slimība, ;https://data.gov.lv/dati/lv/dataset/covid-19
Sabiedriskā labuma organizācijas;VID Publiskojamo datu bāzes dati par sabiedriskā labuma organizācijām.;Valsts ieņēmumu dienests;Ekonomika un uzņēmējdarbība, ;CSV, ;348 skatījumi;PDB, SLO, VID, ;https://data.gov.lv/dati/lv/dataset/sabiedriska-labuma-organizacijas
Speciālās atļaujas (licences) un izziņas darbībām ar akcīzes precēm;VID  Publiskojamo datu bāzes speciālās atļaujas (licences) un izziņas darbībām ar akcīzes precēm;Valsts ieņēmumu dienests;Ekonomika un uzņēmējdarbība, ;CSV, ;222 skatījumi;PDB, ;https://data.gov.lv/dati/lv/dataset/specialas-atlaujas-licences-un-izzinas-darbibam-ar-akcizes-precem
Mikrouzņēmumu nodokļa maksātāji;VID  Publiskojamo datu bāzes mikrouzņēmumu nodokļa maksātāji (datu atjaunošanas regularitāte atbilstoši datu atjaunošanas regularitātei pašās sadaļās);Valsts ieņēmumu dienests;Ekonomika un uzņēmējdarbība, ;CSV, ;388 skatījumi;PDB, ;https://data.gov.lv/dati/lv/dataset/mikrouznemumu-nodokla-maksataji
Saimnieciskās darbības apturēšana;VID Publiskojamo datu bāzes saimnieciskās darbības apturēšanas informācija;Valsts ieņēmumu dienests;Ekonomika un uzņēmējdarbība, ;CSV, ;290 skatījumi;PDB, ;https://data.gov.lv/dati/lv/dataset/saimnieciskas-darbibas-apturesana
PVN maksātāji;VID Publiskojamo datu bāzes PVN maksātāju reģistrs;Valsts ieņēmumu dienests;Ekonomika un uzņēmējdarbība, ;CSV, JSON, ;1015 skatījumi;PVN, ;https://data.gov.lv/dati/lv/dataset/pvn-maksataji
Muitā noformētās deklarācijas;"Datu kopā ir informācija par importa, eksporta un tranzīta muitas  deklarācijām, kuras  noformētas Latvijas muitā periodā no iepriekšējo divu gadu sākuma līdz pēdējā pilnā mēneša beigām.
Datne satur informāciju par muitas kontroles punktos formēto deklarāciju skaitu, sadalījumā pa muitas procedūrām.";Valsts ieņēmumu dienests;Ekonomika un uzņēmējdarbība, Valsts pārvalde, ;CSV, ;810 skatījumi;Muita, muitas deklarācijas, ;https://data.gov.lv/dati/lv/dataset/muita-noformetas-deklaracijas
